,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0090042,BP,GO:0090042,tubulin deacetylation,1/269,23/18888,0.043478261,3.052852756,1.18405743,0.281156123,0.332886511,0.1395936,HDAC6,1
GO:0097107,BP,GO:0097107,postsynaptic density assembly,1/269,23/18888,0.043478261,3.052852756,1.18405743,0.281156123,0.332886511,0.1395936,PTEN,1
GO:0098743,BP,GO:0098743,cell aggregation,1/269,23/18888,0.043478261,3.052852756,1.18405743,0.281156123,0.332886511,0.1395936,MAPK14,1
GO:1905709,BP,GO:1905709,negative regulation of membrane permeability,1/269,23/18888,0.043478261,3.052852756,1.18405743,0.281156123,0.332886511,0.1395936,BNIP3,1
GO:1990840,BP,GO:1990840,response to lectin,1/269,23/18888,0.043478261,3.052852756,1.18405743,0.281156123,0.332886511,0.1395936,MAP3K7,1
GO:1990858,BP,GO:1990858,cellular response to lectin,1/269,23/18888,0.043478261,3.052852756,1.18405743,0.281156123,0.332886511,0.1395936,MAP3K7,1
GO:2000193,BP,GO:2000193,positive regulation of fatty acid transport,1/269,23/18888,0.043478261,3.052852756,1.18405743,0.281156123,0.332886511,0.1395936,IL1B,1
GO:0051283,BP,GO:0051283,negative regulation of sequestering of calcium ion,3/269,130/18888,0.023076923,1.620360309,0.853103784,0.282743052,0.334672102,0.140342374,FASLG/FGF2/BAX,3
GO:0006066,BP,GO:0006066,alcohol metabolic process,7/269,373/18888,0.018766756,1.317719286,0.744930215,0.282884606,0.334672102,0.140342374,EDNRB/NFKB1/CYP1A1/IGF1/SPHK1/AKR1C3/FGFR1,7
GO:0044282,BP,GO:0044282,small molecule catabolic process,7/269,373/18888,0.018766756,1.317719286,0.744930215,0.282884606,0.334672102,0.140342374,TP53/AMACR/AKT1/CYP1A1/IRS1/TWIST1/AKR1C3,7
GO:0050709,BP,GO:0050709,negative regulation of protein secretion,2/269,74/18888,0.027027027,1.897719281,0.930026443,0.284224173,0.336169609,0.140970343,IL1B/IRS1,2
GO:0007052,BP,GO:0007052,mitotic spindle organization,3/269,131/18888,0.022900763,1.607991146,0.839325983,0.28661713,0.338823986,0.142083438,AURKA/RHOA/CHEK2,3
GO:0007127,BP,GO:0007127,meiosis I,3/269,131/18888,0.022900763,1.607991146,0.839325983,0.28661713,0.338823986,0.142083438,AURKA/BRCA2/MLH1,3
GO:0061077,BP,GO:0061077,chaperone-mediated protein folding,2/269,75/18888,0.026666667,1.872416357,0.90992345,0.289502493,0.342146137,0.143476558,HSPA5/CLU,2
GO:0051282,BP,GO:0051282,regulation of sequestering of calcium ion,3/269,132/18888,0.022727273,1.595809395,0.825664581,0.290495479,0.342530175,0.143637602,FASLG/FGF2/BAX,3
GO:0002407,BP,GO:0002407,dendritic cell chemotaxis,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,CXCR2,1
GO:0010954,BP,GO:0010954,positive regulation of protein processing,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,MMP14,1
GO:0014821,BP,GO:0014821,phasic smooth muscle contraction,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,EDNRB,1
GO:0016093,BP,GO:0016093,polyprenol metabolic process,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,AKR1C3,1
GO:0030277,BP,GO:0030277,maintenance of gastrointestinal epithelium,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,TLR4,1
GO:0032528,BP,GO:0032528,microvillus organization,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,FSCN1,1
GO:0032693,BP,GO:0032693,negative regulation of interleukin-10 production,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,CD274,1
GO:0042438,BP,GO:0042438,melanin biosynthetic process,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,MC1R,1
GO:0042501,BP,GO:0042501,serine phosphorylation of STAT protein,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,IFNA1,1
GO:0045061,BP,GO:0045061,thymic T cell selection,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,GATA3,1
GO:0045822,BP,GO:0045822,negative regulation of heart contraction,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,TNF,1
GO:0061484,BP,GO:0061484,hematopoietic stem cell homeostasis,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,BAP1,1
GO:0070233,BP,GO:0070233,negative regulation of T cell apoptotic process,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,HIF1A,1
GO:0071294,BP,GO:0071294,cellular response to zinc ion,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,PARP1,1
GO:0071450,BP,GO:0071450,cellular response to oxygen radical,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,SOD2,1
GO:0071451,BP,GO:0071451,cellular response to superoxide,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,SOD2,1
GO:1900407,BP,GO:1900407,regulation of cellular response to oxidative stress,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,HDAC6,1
GO:1901983,BP,GO:1901983,regulation of protein acetylation,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,HDAC6,1
GO:1903902,BP,GO:1903902,positive regulation of viral life cycle,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,TMPRSS2,1
GO:1904292,BP,GO:1904292,regulation of ERAD pathway,1/269,24/18888,0.041666667,2.925650558,1.134607528,0.291406269,0.342530175,0.143637602,CAV1,1
GO:1904950,BP,GO:1904950,negative regulation of establishment of protein localization,3/269,133/18888,0.022556391,1.583810828,0.812117532,0.294377646,0.345933597,0.145064803,IL1B/TXN/IRS1,3
GO:0008088,BP,GO:0008088,axo-dendritic transport,2/269,76/18888,0.026315789,1.8477793,0.890126178,0.294776218,0.346312649,0.145223755,HIF1A/HDAC6,2
GO:0006123,BP,GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,COX2,1
GO:0006582,BP,GO:0006582,melanin metabolic process,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,MC1R,1
GO:0007190,BP,GO:0007190,activation of adenylate cyclase activity,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,LGR4,1
GO:0007350,BP,GO:0007350,blastoderm segmentation,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,WT1,1
GO:0008156,BP,GO:0008156,negative regulation of DNA replication,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,TP53,1
GO:0008211,BP,GO:0008211,glucocorticoid metabolic process,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,CYP17A1,1
GO:0010842,BP,GO:0010842,retina layer formation,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,TFAP2A,1
GO:0010878,BP,GO:0010878,cholesterol storage,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,PPARG,1
GO:0016973,BP,GO:0016973,poly(A)+ mRNA export from nucleus,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,HHEX,1
GO:0017121,BP,GO:0017121,plasma membrane phospholipid scrambling,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,FASLG,1
GO:0030318,BP,GO:0030318,melanocyte differentiation,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,EDNRB,1
GO:0035020,BP,GO:0035020,regulation of Rac protein signal transduction,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,KRAS,1
GO:0036119,BP,GO:0036119,response to platelet-derived growth factor,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,TLR4,1
GO:0042178,BP,GO:0042178,xenobiotic catabolic process,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,CYP1A1,1
GO:0043576,BP,GO:0043576,regulation of respiratory gaseous exchange,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,GRPR,1
GO:0046514,BP,GO:0046514,ceramide catabolic process,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,PRKCD,1
GO:0048011,BP,GO:0048011,neurotrophin TRK receptor signaling pathway,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,CASP3,1
GO:0050860,BP,GO:0050860,negative regulation of T cell receptor signaling pathway,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,PAWR,1
GO:0060117,BP,GO:0060117,auditory receptor cell development,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,FGFR1,1
GO:0060586,BP,GO:0060586,multicellular organismal-level iron ion homeostasis,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,SOD2,1
GO:0071676,BP,GO:0071676,negative regulation of mononuclear cell migration,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,AKT1,1
GO:0086064,BP,GO:0086064,cell communication by electrical coupling involved in cardiac conduction,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,CAV1,1
GO:0090023,BP,GO:0090023,positive regulation of neutrophil chemotaxis,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,CXCR2,1
GO:0090280,BP,GO:0090280,positive regulation of calcium ion import,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,UCN,1
GO:1901017,BP,GO:1901017,negative regulation of potassium ion transmembrane transporter activity,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,CAV1,1
GO:1903523,BP,GO:1903523,negative regulation of blood circulation,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,TNF,1
GO:1905563,BP,GO:1905563,negative regulation of vascular endothelial cell proliferation,1/269,25/18888,0.04,2.808624535,1.08765834,0.301510791,0.351775458,0.147514546,PPARG,1
GO:0031109,BP,GO:0031109,microtubule polymerization or depolymerization,3/269,135/18888,0.022222222,1.560346964,0.785358566,0.302151643,0.352432895,0.147790237,HDAC6/KATNB1/GIT1,3
GO:0009150,BP,GO:0009150,purine ribonucleotide metabolic process,8/269,446/18888,0.01793722,1.259472886,0.66655326,0.303876914,0.354354548,0.148596069,PARP1/HIF1A/STAT3/MTOR/TGFB1/GIT1/IGF1/FBP1,8
GO:0035418,BP,GO:0035418,protein localization to synapse,2/269,78/18888,0.025641026,1.800400343,0.85141172,0.305306163,0.355930113,0.149256771,ERBB2/HRAS,2
GO:0008154,BP,GO:0008154,actin polymerization or depolymerization,4/269,196/18888,0.020408163,1.432971702,0.732384452,0.30554938,0.356031451,0.149299266,PIK3CA/TENM1/MTOR/PRKCD,4
GO:0099173,BP,GO:0099173,postsynapse organization,4/269,196/18888,0.020408163,1.432971702,0.732384452,0.30554938,0.356031451,0.149299266,PTEN/IGF1R/HDAC6/AKT1,4
GO:0006639,BP,GO:0006639,acylglycerol metabolic process,3/269,136/18888,0.022058824,1.548873825,0.772142809,0.306042593,0.356332751,0.149425614,FBXW7/GPX1/CAV1,3
GO:0030833,BP,GO:0030833,regulation of actin filament polymerization,3/269,136/18888,0.022058824,1.548873825,0.772142809,0.306042593,0.356332751,0.149425614,TENM1/MTOR/PRKCD,3
GO:0051208,BP,GO:0051208,sequestering of calcium ion,3/269,136/18888,0.022058824,1.548873825,0.772142809,0.306042593,0.356332751,0.149425614,FASLG/FGF2/BAX,3
GO:0140013,BP,GO:0140013,meiotic nuclear division,4/269,197/18888,0.020304569,1.425697734,0.721934234,0.308755237,0.3593993,0.15071155,PTEN/AURKA/BRCA2/MLH1,4
GO:0006638,BP,GO:0006638,neutral lipid metabolic process,3/269,137/18888,0.02189781,1.537568176,0.759033723,0.309935599,0.359894826,0.150919345,FBXW7/GPX1/CAV1,3
GO:0007368,BP,GO:0007368,determination of left/right symmetry,3/269,137/18888,0.02189781,1.537568176,0.759033723,0.309935599,0.359894826,0.150919345,NOTCH1/HIF1A/SMAD3,3
GO:0070972,BP,GO:0070972,protein localization to endoplasmic reticulum,2/269,79/18888,0.025316456,1.777610465,0.832477,0.310560591,0.359894826,0.150919345,AKT1/HSPA5,2
GO:0001911,BP,GO:0001911,negative regulation of leukocyte mediated cytotoxicity,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,TGFB1,1
GO:0002026,BP,GO:0002026,regulation of the force of heart contraction,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,CAV1,1
GO:0002092,BP,GO:0002092,positive regulation of receptor internalization,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,VEGFA,1
GO:0006063,BP,GO:0006063,uronic acid metabolic process,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,UGT2B17,1
GO:0007202,BP,GO:0007202,activation of phospholipase C activity,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,EGFR,1
GO:0008045,BP,GO:0008045,motor neuron axon guidance,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,ERBB2,1
GO:0019377,BP,GO:0019377,glycolipid catabolic process,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,PRKCD,1
GO:0019585,BP,GO:0019585,glucuronate metabolic process,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,UGT2B17,1
GO:0019985,BP,GO:0019985,translesion synthesis,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,PCNA,1
GO:0021895,BP,GO:0021895,cerebral cortex neuron differentiation,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,ID4,1
GO:0032469,BP,GO:0032469,endoplasmic reticulum calcium ion homeostasis,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,BAX,1
GO:0033622,BP,GO:0033622,integrin activation,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,FN1,1
GO:0035988,BP,GO:0035988,chondrocyte proliferation,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,MMP14,1
GO:0042537,BP,GO:0042537,benzene-containing compound metabolic process,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,SRD5A2,1
GO:0044550,BP,GO:0044550,secondary metabolite biosynthetic process,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,MC1R,1
GO:0044827,BP,GO:0044827,modulation by host of viral genome replication,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,IFI27,1
GO:0045717,BP,GO:0045717,negative regulation of fatty acid biosynthetic process,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,BRCA1,1
GO:0051560,BP,GO:0051560,mitochondrial calcium ion homeostasis,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,BNIP3,1
GO:0060343,BP,GO:0060343,trabecula formation,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,MMP2,1
GO:0071280,BP,GO:0071280,cellular response to copper ion,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,CYP1A1,1
GO:0098581,BP,GO:0098581,detection of external biotic stimulus,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,TLR4,1
GO:1900151,BP,GO:1900151,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,YBX1,1
GO:1903319,BP,GO:1903319,positive regulation of protein maturation,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,MMP14,1
GO:1903421,BP,GO:1903421,regulation of synaptic vesicle recycling,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,ROCK1,1
GO:1903588,BP,GO:1903588,negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,THBS1,1
GO:1904754,BP,GO:1904754,positive regulation of vascular associated smooth muscle cell migration,1/269,26/18888,0.038461538,2.700600515,1.042976598,0.311471752,0.359894826,0.150919345,MAP3K7,1
GO:0030048,BP,GO:0030048,actin filament-based movement,3/269,138/18888,0.02173913,1.526426378,0.746029505,0.313830235,0.362436134,0.151985025,PIK3CA/CAV1/ROCK1,3
GO:1904064,BP,GO:1904064,positive regulation of cation transmembrane transport,3/269,138/18888,0.02173913,1.526426378,0.746029505,0.313830235,0.362436134,0.151985025,CAV1/BAX/LRRC26,3
GO:0061982,BP,GO:0061982,meiosis I cell cycle process,3/269,139/18888,0.021582734,1.515444893,0.733128396,0.317726081,0.366842378,0.153832752,AURKA/BRCA2/MLH1,3
GO:0000303,BP,GO:0000303,response to superoxide,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,SOD2,1
GO:0002227,BP,GO:0002227,innate immune response in mucosa,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,DEFB1,1
GO:0006007,BP,GO:0006007,glucose catabolic process,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,TP53,1
GO:0006972,BP,GO:0006972,hyperosmotic response,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,FBP1,1
GO:0007141,BP,GO:0007141,male meiosis I,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,BRCA2,1
GO:0007289,BP,GO:0007289,spermatid nucleus differentiation,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,SRPK1,1
GO:0010884,BP,GO:0010884,positive regulation of lipid storage,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,NFKB1,1
GO:0021846,BP,GO:0021846,cell proliferation in forebrain,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,FGFR1,1
GO:0032753,BP,GO:0032753,positive regulation of interleukin-4 production,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,GATA3,1
GO:0033081,BP,GO:0033081,regulation of T cell differentiation in thymus,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,ERBB2,1
GO:0035458,BP,GO:0035458,cellular response to interferon-beta,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,STAT1,1
GO:0042983,BP,GO:0042983,amyloid precursor protein biosynthetic process,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,PAWR,1
GO:0042984,BP,GO:0042984,regulation of amyloid precursor protein biosynthetic process,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,PAWR,1
GO:0048207,BP,GO:0048207,"vesicle targeting, rough ER to cis-Golgi",1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,CUL3,1
GO:0048208,BP,GO:0048208,COPII vesicle coating,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,CUL3,1
GO:0048745,BP,GO:0048745,smooth muscle tissue development,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,MIR145,1
GO:0061098,BP,GO:0061098,positive regulation of protein tyrosine kinase activity,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,FBXW7,1
GO:0071108,BP,GO:0071108,protein K48-linked deubiquitination,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,BAP1,1
GO:0071624,BP,GO:0071624,positive regulation of granulocyte chemotaxis,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,CXCR2,1
GO:0099170,BP,GO:0099170,postsynaptic modulation of chemical synaptic transmission,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,CDH1,1
GO:0099560,BP,GO:0099560,synaptic membrane adhesion,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,MAPK14,1
GO:1902410,BP,GO:1902410,mitotic cytokinetic process,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,RHOA,1
GO:1903077,BP,GO:1903077,negative regulation of protein localization to plasma membrane,1/269,27/18888,0.037037037,2.600578273,1.000359029,0.321291182,0.368808926,0.15465741,TGFB1,1
GO:0009581,BP,GO:0009581,detection of external stimulus,3/269,140/18888,0.021428571,1.504620287,0.720328678,0.321622721,0.369096503,0.154778003,CTNNB1/TNF/PTK2,3
GO:0061844,BP,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,2/269,82/18888,0.024390244,1.712575936,0.777265366,0.326271497,0.374148739,0.156896622,KLK3/DEFB1,2
GO:0070936,BP,GO:0070936,protein K48-linked ubiquitination,2/269,82/18888,0.024390244,1.712575936,0.777265366,0.326271497,0.374148739,0.156896622,CUL3/IFI27,2
GO:1904427,BP,GO:1904427,positive regulation of calcium ion transmembrane transport,2/269,82/18888,0.024390244,1.712575936,0.777265366,0.326271497,0.374148739,0.156896622,CAV1/BAX,2
GO:0016072,BP,GO:0016072,rRNA metabolic process,5/269,266/18888,0.018796992,1.319842357,0.631455991,0.329271984,0.377353421,0.158240483,TP53/RNASEL/SMARCA4/MTOR/FRG1,5
GO:0000305,BP,GO:0000305,response to oxygen radical,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,SOD2,1
GO:0001702,BP,GO:0001702,gastrulation with mouth forming second,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,CTNNB1,1
GO:0001773,BP,GO:0001773,myeloid dendritic cell activation,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,IL10,1
GO:0001963,BP,GO:0001963,"synaptic transmission, dopaminergic",1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,PTGS2,1
GO:0014850,BP,GO:0014850,response to muscle activity,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,HIF1A,1
GO:0021680,BP,GO:0021680,cerebellar Purkinje cell layer development,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,HSPA5,1
GO:0032703,BP,GO:0032703,negative regulation of interleukin-2 production,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,GATA3,1
GO:0032801,BP,GO:0032801,receptor catabolic process,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,TGFB1,1
GO:0034508,BP,GO:0034508,centromere complex assembly,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,RB1,1
GO:0036037,BP,GO:0036037,"CD8-positive, alpha-beta T cell activation",1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,CD274,1
GO:0044342,BP,GO:0044342,type B pancreatic cell proliferation,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,CDK4,1
GO:0048668,BP,GO:0048668,collateral sprouting,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,HDAC6,1
GO:0048714,BP,GO:0048714,positive regulation of oligodendrocyte differentiation,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,MTOR,1
GO:0048843,BP,GO:0048843,negative regulation of axon extension involved in axon guidance,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,HDAC6,1
GO:0050857,BP,GO:0050857,positive regulation of antigen receptor-mediated signaling pathway,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,RELA,1
GO:0051873,BP,GO:0051873,killing by host of symbiont cells,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,MYD88,1
GO:0051953,BP,GO:0051953,negative regulation of amine transport,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,TNF,1
GO:0055022,BP,GO:0055022,negative regulation of cardiac muscle tissue growth,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,MIR25,1
GO:0061117,BP,GO:0061117,negative regulation of heart growth,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,MIR25,1
GO:0062149,BP,GO:0062149,detection of stimulus involved in sensory perception of pain,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,TNF,1
GO:0070199,BP,GO:0070199,establishment of protein localization to chromosome,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,BRCA2,1
GO:0090025,BP,GO:0090025,regulation of monocyte chemotaxis,1/269,28/18888,0.035714286,2.507700478,0.959627529,0.330971086,0.377353421,0.158240483,SERPINE1,1
GO:0086003,BP,GO:0086003,cardiac muscle cell contraction,2/269,83/18888,0.024096386,1.691942491,0.759367196,0.331488321,0.377848584,0.158448126,PIK3CA/CAV1,2
GO:0002028,BP,GO:0002028,regulation of sodium ion transport,2/269,84/18888,0.023809524,1.671800319,0.74171008,0.336693791,0.383494228,0.160815587,AKT1/PER1,2
GO:0006446,BP,GO:0006446,regulation of translational initiation,2/269,84/18888,0.023809524,1.671800319,0.74171008,0.336693791,0.383494228,0.160815587,MTOR/TNF,2
GO:0072527,BP,GO:0072527,pyrimidine-containing compound metabolic process,2/269,84/18888,0.023809524,1.671800319,0.74171008,0.336693791,0.383494228,0.160815587,MTOR/MAPK1,2
GO:0007269,BP,GO:0007269,neurotransmitter secretion,3/269,144/18888,0.020833333,1.462825279,0.670110825,0.337209132,0.383889257,0.16098124,SNCG/GIT1/BRAF,3
GO:0099643,BP,GO:0099643,signal release from synapse,3/269,144/18888,0.020833333,1.462825279,0.670110825,0.337209132,0.383889257,0.16098124,SNCG/GIT1/BRAF,3
GO:0003209,BP,GO:0003209,cardiac atrium morphogenesis,1/269,29/18888,0.034482759,2.421228048,0.920625272,0.340513439,0.386492085,0.162072717,NOTCH1,1
GO:0007342,BP,GO:0007342,fusion of sperm to egg plasma membrane involved in single fertilization,1/269,29/18888,0.034482759,2.421228048,0.920625272,0.340513439,0.386492085,0.162072717,CD9,1
